rate: 0.001000, gamma: 0.000010, dim: 5, precision: 0.000030
rate: 0.001000, gamma: 0.000010, dim: 6, precision: 0.000030
rate: 0.001000, gamma: 0.000010, dim: 7, precision: 0.000030
rate: 0.001000, gamma: 0.000010, dim: 8, precision: 0.000029
rate: 0.001000, gamma: 0.000010, dim: 9, precision: 0.000029
rate: 0.001000, gamma: 0.000010, dim: 10, precision: 0.000029
rate: 0.001000, gamma: 0.000010, dim: 11, precision: 0.000028
rate: 0.000500, gamma: 0.000010, dim: 1, precision: 0.000019
rate: 0.000500, gamma: 0.000010, dim: 1, precision: 0.000025
rate: 0.000500, gamma: 0.000010, dim: 2, precision: 0.000025
rate: 0.000500, gamma: 0.000010, dim: 3, precision: 0.000025
rate: 0.000500, gamma: 0.000010, dim: 4, precision: 0.000013
rate: 0.000500, gamma: 0.000010, dim: 5, precision: 0.000016
rate: 0.000500, gamma: 0.000010, dim: 6, precision: 0.000027
rate: 0.000500, gamma: 0.000010, dim: 7, precision: 0.000027
rate: 0.000500, gamma: 0.000010, dim: 8, precision: 0.000025
rate: 0.000500, gamma: 0.000010, dim: 9, precision: 0.000025
rate: 0.000500, gamma: 0.000010, dim: 10, precision: 0.000023
rate: 0.000500, gamma: 0.000010, dim: 11, precision: 0.000023
rate: 0.000500, gamma: 0.000010, dim: 12, precision: 0.000026
rate: 0.000500, gamma: 0.000010, dim: 13, precision: 0.000026
rate: 0.000500, gamma: 0.000010, dim: 14, precision: 0.000026
rate: 0.000500, gamma: 0.000010, dim: 15, precision: 0.000037
rate: 0.000500, gamma: 0.000010, dim: 16, precision: 0.000025
rate: 0.000500, gamma: 0.000010, dim: 17, precision: 0.000018
rate: 0.000500, gamma: 0.000010, dim: 18, precision: 0.000011
rate: 0.000500, gamma: 0.000010, dim: 19, precision: 0.000010
rate: 0.000500, gamma: 0.000010, dim: 20, precision: 0.000015
